video_id,title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,video_age_days,views_per_day,like_rate,comment_rate,engagement_rate
xsLJZyih3Ac,Pranks Destroy Scam Callers- GlitterBomb Payback,Mark Rober,2022-05-08 16:36:44+00:00,28,116979128,3168261,63938,PT26M41S,1473,79415.57,0.027083985443967406,0.0005465761379243654,0.027630561581891772
uBEL3YVzMwk,Robot Piano Catches Fire Playing Rush E (World’s Hardest Song),Mark Rober,2022-03-19 17:03:50+00:00,28,52649011,1244550,37948,PT11M34S,1523,34569.28,0.023638620676084493,0.0007207732734048889,0.024359393949489383
QiKZYt9070U,World's Largest T-Shirt Cannon (breaks the roof),Mark Rober,2021-12-20 19:47:17+00:00,28,28652959,659682,15607,PT15M12S,1612,17774.79,0.023023171882527036,0.0005446906897120119,0.02356786257223905
3c584TGG7jQ,EXPLODING Glitter Bomb 4.0 vs. Package Thieves,Mark Rober,2021-12-13 22:02:27+00:00,28,36190011,1402947,52526,PT16M54S,1619,22353.31,0.03876613908738519,0.0014513949719440538,0.04021753405932924
pXDx6DjNLDU,This Robot Eats Trash #TeamSeas,Mark Rober,2021-10-29 19:59:25+00:00,28,68388043,1987871,43500,PT11M44S,1664,41098.58,0.029067522812430822,0.0006360761047073682,0.02970359891713819
e09xig209cQ,World's Tallest Elephant Toothpaste Volcano,Mark Rober,2021-09-04 16:19:31+00:00,28,58305823,1393141,34064,PT16M20S,1719,33918.45,0.023893685541493858,0.0005842298118320017,0.024477915353325858
8HEfIJlcFbs,World Record Domino Robot (100k dominoes in 24hrs),Mark Rober,2021-07-26 19:59:46+00:00,28,85668212,1333492,33754,PT14M11S,1759,48702.79,0.015565773685109712,0.00039400845671904534,0.015959782141828756
VS6tnF31zr4,Shark vs. GoPro,Mark Rober,2021-07-12 17:13:11+00:00,28,18224513,511920,18777,PT23M7S,1773,10278.91,0.028089639487211538,0.001030315597459312,0.02911995508467085
DTvS9lvRxZ8,Backyard Squirrel Maze 2.0- The Walnut Heist,Mark Rober,2021-05-18 20:34:52+00:00,28,127644614,2453496,74511,PT16M41S,1828,69827.47,0.019221304551087445,0.0005837379084400693,0.01980504245952751
5J3peD8LZ5o,Color the Spectrum LIVE- Mark Rober and Jimmy Kimmel,Mark Rober,2021-05-01 03:43:39+00:00,29,6820539,272126,5179,PT2H57M4S,1846,3694.77,0.03989801978993156,0.0007593241531204498,0.04065734394305201
