video_id,title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,video_age_days,views_per_day,like_rate,comment_rate,engagement_rate
V4M4m24uNlY,林俊傑 JJ Lin 《謝幕 Hero》Official Music Video,JJ Lin林俊傑,2023-04-04 16:15:37+00:00,10,1349468,12550,714,PT5M25S,1142,1181.67,0.009299961169883244,0.0005290973924539151,0.009829058562337158
YsWhTJN_LOI,《謝幕 Hero》Official Music Video coming VERY soon,JJ Lin林俊傑,2023-04-04 11:36:35+00:00,10,4684,434,15,PT9S,1142,4.1,0.09265584970111017,0.0032023911187019642,0.09585824081981213
Y9tij3dKHe0,林俊傑 JJ Lin JJ20 World Tour 2023 Vlog #8: Hong Kong Week 2,JJ Lin林俊傑,2023-04-04 04:00:02+00:00,10,39839,1213,143,PT15M13S,1143,34.85,0.03044755139436231,0.0035894475262933305,0.03403699892065564
zKGgcDFymdI,林俊傑 JJ Lin / 蔡卓妍 Charlene Choi - 《小酒窩》 Dimples - JJ20 現場版 Live in Hong Kong,JJ Lin林俊傑,2023-03-31 04:00:08+00:00,10,1299178,7748,329,PT3M21S,1147,1132.67,0.00596377093823941,0.00025323704680959804,0.006217007985049008
DBZYfqFMF8M,林俊傑 JJ Lin / 鄭容和 Jung Yong-hwa - 《Checkmate》- JJ20 現場版 Live in Hong Kong,JJ Lin林俊傑,2023-03-29 12:30:07+00:00,10,372264,6638,290,PT4M49S,1148,324.27,0.017831431457245396,0.000779017041669353,0.018610448498914748
7kVadBJU4vA,林俊傑 JJ Lin / 容祖兒 Joey Yung 《第一百個我》 - JJ20 現場版 Live in Hong Kong,JJ Lin林俊傑,2023-03-28 10:00:07+00:00,10,123380,1458,108,PT2M10S,1149,107.38,0.011817150267466364,0.0008753444642567677,0.012692494731723132
YEvJnt8lXB0,林俊傑 JJ Lin 《謝幕 Hero》Live Music Video,JJ Lin林俊傑,2023-03-25 14:00:02+00:00,10,1633682,10514,904,PT4M7S,1152,1418.13,0.006435769017470964,0.0005533512641995199,0.006989120281670484
WJDB9QfB6nM,林俊傑 JJ Lin JJ20 World Tour 2023 Vlog #7: Hong Kong Week 1,JJ Lin林俊傑,2023-03-23 12:00:03+00:00,10,52169,1617,133,PT6M2S,1154,45.21,0.03099541873526424,0.0025494067358009546,0.033544825471065194
06a_j5fJ_MA,"林俊傑 JJ Lin -《輸了你贏了世界又如何》Losing You, What Does It Matter If I Win The World - JJ20  Live in Hong Kong",JJ Lin林俊傑,2023-03-22 13:00:02+00:00,10,349027,4356,269,PT2M20S,1155,302.19,0.012480409825027863,0.0007707140135290393,0.013251123838556903
jOoDmAX9Rqk,林俊傑 JJ Lin / 黃貫中 Paul Wong - 《海闊天空》- JJ20 現場版 Live in Hong Kong,JJ Lin林俊傑,2023-03-21 10:00:36+00:00,10,524676,5772,482,PT3M51S,1156,453.87,0.011001074949111452,0.0009186621839001593,0.011919737133011612
PG-SMRwsEnA,林俊傑 JJ Lin - 《追》 Chase - JJ20 現場版 Live in Hong Kong,JJ Lin林俊傑,2023-03-20 12:31:14+00:00,10,201491,3348,375,PT2M16S,1157,174.15,0.016616126774893172,0.0018611253108079269,0.0184772520857011
tf7Wl41nag4,林俊傑 JJ Lin - 《7千3百多天》JJ20 Official Music Video,JJ Lin林俊傑,2023-03-09 04:00:27+00:00,10,427016,4039,403,PT3M44S,1169,365.28,0.009458661970511643,0.0009437585476890796,0.010402420518200723
YhwX7ZzOTro,林俊杰 JJ Lin JJ20 Official Music Video Coming Soon,JJ Lin林俊傑,2023-03-07 10:32:50+00:00,10,22796,928,36,PT31S,1170,19.48,0.04070889629759607,0.0015792244253377786,0.04228812072293385
Licn8Hn1ZJU,林俊傑 JJ Lin JJ20 World Tour 2023 Vlog #6: Toronto,JJ Lin林俊傑,2023-03-03 13:14:50+00:00,10,42541,1250,170,PT12M16S,1174,36.24,0.02938341834935709,0.003996144895512564,0.03337956324486965
vKZIswRZlpQ,林俊傑 JJ Lin JJ20 World Tour 2023 Vlog #5: New York,JJ Lin林俊傑,2023-02-23 02:00:01+00:00,10,51894,1239,130,PT11M44S,1183,43.87,0.023875592554052492,0.002505106563379196,0.026380699117431686
